city,lat,lon,date,rainfall_weekly,rainfall_30d,rainfall_90d,temp_mean,temp_max,temp_min,humidity_mean,wind_speed,solar_radiation,et0,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code_encoded,month,year,day_of_year
Nashik,19.9975,73.7898,2021-03-21,-0.28583052132948755,-0.4285806710219628,-0.5126049020592303,0.41439986265869283,0.6739024135833139,0.17048216022647156,-0.6436418343547473,-0.04139968612265779,0.6522122886303285,0.9937878417495227,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.0144149104875522,-0.7104994938867517,-0.9745456238946337
Nashik,19.9975,73.7898,2021-03-28,-0.3337112682399412,-0.40821576550411776,-0.5048776761087627,0.8210008519818103,0.9954928029183322,0.6449085245137912,-0.6051350757689036,0.03801588001493289,0.7406517998898092,1.1148759707558251,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.0144149104875522,-0.7104994938867517,-0.9081860079706839
Nashik,19.9975,73.7898,2021-04-04,-0.4115174819694283,-0.40821576550411776,-0.5048776761087627,0.7817428254264747,0.9282511760573738,0.6304523195078064,-0.9137239605471243,-0.45310670004648246,1.2785380077138642,1.1390935965570859,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.7250572147091356,-0.7104994938867517,-0.8418263920467342
Nashik,19.9975,73.7898,2021-04-11,-0.4115174819694283,-0.40821576550411776,-0.5048776761087627,0.9499915106636271,1.2001412324951617,0.7027333445377306,-1.0115953052861442,0.02756646341788136,1.356828722599306,1.6073010287147902,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.7250572147091356,-0.7104994938867517,-0.7754667761227845
Nashik,19.9975,73.7898,2021-04-18,-0.4115174819694283,-0.44111292057140583,-0.5048776761087627,1.1574982224561141,1.3740923976354664,0.935346825088577,-0.9639966731453093,-0.24202848478604455,1.4235208130572754,1.7041715319198325,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.7250572147091356,-0.7104994938867517,-0.7091071601988347
Nashik,19.9975,73.7898,2021-04-25,-0.26121002362837364,-0.401807228802698,-0.48995008052263195,1.2878909535149068,1.6079763171518433,0.9708302373759943,-0.6602211331903187,0.10907191287488227,1.001620849507949,2.1643064221437824,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.7250572147091356,-0.7104994938867517,-0.6427475442748849
Nashik,19.9975,73.7898,2021-05-02,-0.14300442969319135,-0.3518562455132986,-0.46328304551175226,1.1883438147495917,1.4457193479873571,0.930090023268219,-0.5783942711954009,0.04846529661198405,1.0364167227903676,1.9544203318661912,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.4356995189307191,-0.7104994938867517,-0.5763879283509351
Nashik,19.9975,73.7898,2021-05-09,-0.4115174819694283,-0.3518562455132986,-0.46328304551175226,1.4098712503118416,1.622594062121617,1.1850449115555872,-0.9613225926879592,-0.17933198520373608,1.5525555098129107,1.978637957667452,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.4356995189307191,-0.7104994938867517,-0.5100283124269854
Nashik,19.9975,73.7898,2021-05-16,-0.4115174819694283,-0.3518562455132986,-0.46328304551175226,1.56830542891016,1.9266431574929064,1.2100147202022884,-0.959718144413549,-0.14798373541258186,1.5757527586678566,2.6002236865664727,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.4356995189307191,-0.7104994938867517,-0.44366869650303564
Nashik,19.9975,73.7898,2021-05-23,-0.4115174819694283,-0.3911975402636809,-0.46328304551175226,1.8459157595514601,2.050893989735982,1.608217458094415,-1.0763080523540207,0.45181277725816743,1.591700867255632,2.2692494672825783,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-0.4356995189307191,-0.7104994938867517,-0.37730908057908585
